"编号","开始答题时间","结束答题时间","答题时长","地理位置国家和地区","地理位置省","地理位置市","自定义字段","1.目前您大部分时间从事哪方面的工作？:开发","1.目前您大部分时间从事哪方面的工作？:测试","1.目前您大部分时间从事哪方面的工作？:产品经理","1.目前您大部分时间从事哪方面的工作？:数据分析","1.目前您大部分时间从事哪方面的工作？:后台运维","1.目前您大部分时间从事哪方面的工作？:其他","2.您的⼯程经验⼤约多⻓时间？","3.对比软件官方的修改记录（如图下方所示），您觉得以下我们提供的异常应用问题的描述是否可以接收？其中高亮的文字为异常应用问题的描述。检测效果如下：[图片][图片]软件官方的修改记录v11.17：* 自动播放下一个推荐的视屏","4.我们有两套模型A和B：A模型较为简单，每秒能处理200条评论，在实验环境达到了60%左右的问题检测准确度和召回率；B模型比较复杂，每秒能处理125条评论，在实验环境达到了80%左右的问题检测准确度和召回率；你更倾向于选择哪种模型：","5.您愿意使⽤或者推荐开发者在企业环境中尝试使⽤这样的⼯具吗？",
"44","13-Apr-2020 17:27:32","13-Apr-2020 17:28:07","35","中国","上海市","上海市","","","","","","","F.其他","A.少于1年","A.可以接受，能够提供有用信息","C.都可以接受","C.没有，不如人工来的准确",
"43","13-Apr-2020 17:16:40","13-Apr-2020 17:18:57","137","中国","江西省","","","","","","","","F.其他","B.1~3年","B.一定程度上可以接受，能够反应一些问题","B.B模型","B.可能会，可能会有一定帮助",
"42","13-Apr-2020 17:02:55","13-Apr-2020 17:03:19","24","中国","上海市","上海市","","","B.测试","","","","","C.3~5年","B.一定程度上可以接受，能够反应一些问题","B.B模型","B.可能会，可能会有一定帮助",
"41","13-Apr-2020 16:57:59","13-Apr-2020 16:58:53","54","中国","上海市","上海市","","A.开发","","","","","","B.1~3年","B.一定程度上可以接受，能够反应一些问题","B.B模型","A.十分愿意，能够减少人力分析的投入",
"40","13-Apr-2020 16:50:35","13-Apr-2020 16:55:43","308","中国","上海市","上海市","","","","C.产品经理","","","","B.1~3年","B.一定程度上可以接受，能够反应一些问题","C.都可以接受","B.可能会，可能会有一定帮助",
"39","13-Apr-2020 16:46:37","13-Apr-2020 16:49:07","150","中国","上海市","上海市","","","B.测试","","","","","C.3~5年","B.一定程度上可以接受，能够反应一些问题","B.B模型","B.可能会，可能会有一定帮助",
"38","13-Apr-2020 16:44:28","13-Apr-2020 16:45:55","87","中国","上海市","上海市","","","","","D.数据分析","","","B.1~3年","B.一定程度上可以接受，能够反应一些问题","B.B模型","B.可能会，可能会有一定帮助",
"37","13-Apr-2020 16:44:39","13-Apr-2020 16:45:07","28","中国","上海市","上海市","","A.开发","","","","","","B.1~3年","A.可以接受，能够提供有用信息","C.都可以接受","B.可能会，可能会有一定帮助",
"36","13-Apr-2020 16:43:26","13-Apr-2020 16:44:32","66","中国","上海市","上海市","","","","","","","F.其他","A.少于1年","B.一定程度上可以接受，能够反应一些问题","B.B模型","A.十分愿意，能够减少人力分析的投入",
"35","13-Apr-2020 15:58:29","13-Apr-2020 15:59:06","37","中国","上海市","上海市","","A.开发","B.测试","","","","","B.1~3年","B.一定程度上可以接受，能够反应一些问题","A.A模型","B.可能会，可能会有一定帮助",
